;purchdate;amount;mcc;mrchcity;mrchname;cnum;store_name;merchant_name;category_x;cnum_;categorycode;gender;age;married_;residenttype;category_y;description
65700757;2019-11-07 00:00:00;2394.82;5411;EKATERINBURG;C1EJX KEXJ1 MVQV;QFODDG;Метро Стор 1030;C1EJX KEXJ1 MVQV;Supermarkets;QFODDG;70;M;32;married;R;70;Regular retail banking customer
64851291;2019-09-30 00:00:00;23.0;5814;SANKT-PETERBU;T1D81N;ELQMTD;Vendex;T1D81N;Fast Food;ELQMTD;50;M;28;not_married;R;50;Corporate customer employee/ payroll scheme
7503448;2019-12-04 00:00:00;45.0;5814;SANKT-PETERBU;T1D81N;QLTTPI;Vendex;T1D81N;Fast Food;QLTTPI;50;M;33;not_married;R;50;Corporate customer employee/ payroll scheme
21590304;2019-11-12 00:00:00;430.0;5812;MOSCOW;J1KEXJ7D KOJXT7JDO7;EEUBVI;Сыроварня;J1KEXJ7D KOJXT7JDO7;Restaurants;EEUBVI;70;M;43;not_married;R;70;Regular retail banking customer
1535238;2019-11-18 00:00:00;8800.0;5331;SANKT-PETERBU;0XHKAX4 ZXKE4DO 8TXJ;MNQIJQ;Большой гостиный двор;0XHKAX4 ZXKE4DO 8TXJ;Supermarkets;MNQIJQ;81;F;49;not_married;R;81;Affluent Banking payroll customer
13154647;2019-09-16 00:00:00;191.98;5411;SANKT-PETERBU;6 KA7ZXT;E4FG8D;7 шагов;6 KA7ZXT;Supermarkets;E4FG8D;50;F;48;not_married;R;50;Corporate customer employee/ payroll scheme
17562523;2019-11-28 00:00:00;19.0;5814;SANKT-PETERBU;T1D81N;PFSGCC;Vendex;T1D81N;Fast Food;PFSGCC;50;M;36;not_married;R;50;Corporate customer employee/ payroll scheme
13535781;2019-10-07 00:00:00;22.0;5814;SANKT-PETERBU;T1D81N;ELHNVQ;Vendex;T1D81N;Fast Food;ELHNVQ;50;M;27;not_married;R;50;Corporate customer employee/ payroll scheme
312229;2019-11-07 00:00:00;35.0;5814;SANKT-PETERBU;T1D81N;8ELBBX;Vendex;T1D81N;Fast Food;8ELBBX;81;M;49;married;N;81;Affluent Banking payroll customer
11653657;2019-10-27 00:00:00;253.91;5411;MOSCOW;C1EJX KEXJ1 MQMP;EERFED;Метро Стор 1318;C1EJX KEXJ1 MQMP;Supermarkets;EERFED;50;M;31;married;R;50;Corporate customer employee/ payroll scheme
41910039;2019-11-27 00:00:00;212.97;5411;SANKT-PETERBU;6 KA7ZXT;EEMSTN;7 шагов;6 KA7ZXT;Supermarkets;EEMSTN;70;F;53;married;R;70;Regular retail banking customer
53942681;2019-11-17 00:00:00;639.15;5411;SANKT-PETERBU;6 KA7ZXT;KJLLMP;7 шагов;6 KA7ZXT;Supermarkets;KJLLMP;50;M;60;married;R;50;Corporate customer employee/ payroll scheme
51195138;2019-11-22 00:00:00;4047.1;5411;NIZH NOVGOROD;C1EJX KEXJ1 MVBM;EDXGDN;Метро Стор 1021;C1EJX KEXJ1 MVBM;Supermarkets;EDXGDN;50;F;56;married;R;50;Corporate customer employee/ payroll scheme
60070030;2019-11-21 00:00:00;40.0;5814;SANKT-PETERBU;T1D81N;JMNJJL;Vendex;T1D81N;Fast Food;JMNJJL;50;M;41;married;R;50;Corporate customer employee/ payroll scheme
55562541;2019-10-22 00:00:00;150.0;5814;SANKT-PETERBU;T1D81N;MJRPKR;Vendex;T1D81N;Fast Food;MJRPKR;80;M;42;not_married;R;80;Affluent Banking regular customer
33227797;2019-11-28 00:00:00;49.0;5814;SANKT-PETERBU;T1D81N;IYDNSO;Vendex;T1D81N;Fast Food;IYDNSO;50;M;29;married;R;50;Corporate customer employee/ payroll scheme
14747166;2019-11-29 00:00:00;250.0;5814;MOSKVA;IX9911 WX4DE;EEJSNQ;Кофе Поинт;IX9911 WX4DE;Fast Food;EEJSNQ;85;F;62;not_married;R;85;Premium Direct Payroll Customer
5050429;2019-10-02 00:00:00;95.0;5814;MOSKVA - 45-2;IX991 WX4DE;RNMJJR;Кофе Поинт;IX991 WX4DE;Fast Food;RNMJJR;85;M;40;not_married;R;85;Premium Direct Payroll Customer
29664746;2019-11-07 00:00:00;35.0;5814;SANKT-PETERBU;T1D81N;E4PD2G;Vendex;T1D81N;Fast Food;E4PD2G;50;F;33;married;R;50;Corporate customer employee/ payroll scheme
12384999;2019-10-04 00:00:00;35.0;5814;SANKT-PETERBU;T1D81N;ELM61Q;Vendex;T1D81N;Fast Food;ELM61Q;50;M;34;married;R;50;Corporate customer employee/ payroll scheme
53335498;2019-11-23 00:00:00;56.98;5411;SANKT-PETERBU;6 KA7ZXT;E4VQY4;7 шагов;6 KA7ZXT;Supermarkets;E4VQY4;50;F;44;not_married;R;50;Corporate customer employee/ payroll scheme
59092995;2019-12-02 00:00:00;105.03;5411;NIZH NOVGOROD;C1EJX KEXJ1 MVBM;EEUCK6;Метро Стор 1021;C1EJX KEXJ1 MVBM;Supermarkets;EEUCK6;50;F;51;not_married;R;50;Corporate customer employee/ payroll scheme
50488508;2019-10-25 00:00:00;40.0;5814;SANKT-PETERBU;T1D81N;ELHD1V;Vendex;T1D81N;Fast Food;ELHD1V;50;M;37;not_married;R;50;Corporate customer employee/ payroll scheme
57792635;2019-12-07 00:00:00;40.0;5814;SANKT-PETERBU;T1D81N;E4V87P;Vendex;T1D81N;Fast Food;E4V87P;70;F;20;not_married;R;70;Regular retail banking customer
9713090;2019-10-15 00:00:00;35.0;5814;SANKT-PETERBU;T1D81N;5HYGHS;Vendex;T1D81N;Fast Food;5HYGHS;50;F;29;married;R;50;Corporate customer employee/ payroll scheme
14523297;2019-10-07 00:00:00;170.0;5814;MOSKVA;IX9911 WX4DE;EET8HF;Кофе Поинт;IX9911 WX4DE;Fast Food;EET8HF;50;F;31;married;R;50;Corporate customer employee/ payroll scheme
32783144;2019-11-04 00:00:00;45.0;5814;SANKT-PETERBU;T1D81N;ELSHJV;Vendex;T1D81N;Fast Food;ELSHJV;50;M;38;not_married;R;50;Corporate customer employee/ payroll scheme
55218149;2019-09-28 00:00:00;30.0;5814;SANKT-PETERBU;T1D81N;8ELX4Y;Vendex;T1D81N;Fast Food;8ELX4Y;50;M;33;married;N;50;Corporate customer employee/ payroll scheme
44483892;2019-12-02 00:00:00;23.0;5814;SANKT-PETERBU;T1D81N;E4LP5V;Vendex;T1D81N;Fast Food;E4LP5V;50;F;37;married;R;50;Corporate customer employee/ payroll scheme
62666724;2019-12-17 00:00:00;33.0;5814;SANKT-PETERBU;T1D81N;IRPNKM;Vendex;T1D81N;Fast Food;IRPNKM;50;M;36;married;R;50;Corporate customer employee/ payroll scheme
57037148;2019-10-19 00:00:00;49.8;5411;MOSCOW;C1EJX KEXJ1 MQMP;EEJGM2;Метро Стор 1318;C1EJX KEXJ1 MQMP;Supermarkets;EEJGM2;50;F;55;not_married;R;50;Corporate customer employee/ payroll scheme
22663998;2019-10-27 00:00:00;5135.85;5411;EKATERINBURG;C1EJX KEXJ1 MVQV;JIJQNT;Метро Стор 1030;C1EJX KEXJ1 MVQV;Supermarkets;JIJQNT;70;F;61;married;R;70;Regular retail banking customer
19726405;2019-10-09 00:00:00;1837.0;5331;SANKT-PETERBU;0XHKAX4 ZXKE4DO 8TXJ;KRRPQK;Большой гостиный двор;0XHKAX4 ZXKE4DO 8TXJ;Supermarkets;KRRPQK;70;F;42;not_married;R;70;Regular retail banking customer
59764047;2019-10-23 00:00:00;70.0;5814;SANKT-PETERBU;T1D81N;ELNYF8;Vendex;T1D81N;Fast Food;ELNYF8;50;M;26;not_married;R;50;Corporate customer employee/ payroll scheme
46734931;2019-09-18 00:00:00;75.0;5814;SANKT-PETERBU;T1D81N;JKPPNQ;Vendex;T1D81N;Fast Food;JKPPNQ;70;M;45;married;R;70;Regular retail banking customer
50498646;2019-11-01 00:00:00;14.0;5814;SANKT-PETERBU;T1D81N;KDXNOH;Vendex;T1D81N;Fast Food;KDXNOH;50;M;31;not_married;R;50;Corporate customer employee/ payroll scheme
53882435;2019-10-07 00:00:00;964.37;5411;SANKT-PETERBU;6 KA7ZXT;IYNSHN;7 шагов;6 KA7ZXT;Supermarkets;IYNSHN;70;M;56;not_married;R;70;Regular retail banking customer
69658224;2019-10-18 00:00:00;25.0;5814;SANKT-PETERBU;T1D81N;NJMMLM;Vendex;T1D81N;Fast Food;NJMMLM;50;M;35;not_married;R;50;Corporate customer employee/ payroll scheme
54230024;2019-11-10 00:00:00;105.99;5411;SANKT-PETERBU;6 KA7ZXT;ZNNGCN;7 шагов;6 KA7ZXT;Supermarkets;ZNNGCN;70;M;31;not_married;R;70;Regular retail banking customer
40036484;2019-10-25 00:00:00;660.0;5812;CHELYABINSK;KTXO7 3XCW7D4O7;KHYGNG;Своя Компания;KTXO7 3XCW7D4O7;Restaurants;KHYGNG;50;F;42;not_married;R;50;Corporate customer employee/ payroll scheme
12798853;2019-09-26 00:00:00;40.0;5814;SANKT-PETERBU;T1D81N;EL19LR;Vendex;T1D81N;Fast Food;EL19LR;50;M;36;married;R;50;Corporate customer employee/ payroll scheme
37013778;2019-10-29 00:00:00;55.0;5814;SANKT-PETERBU;T1D81N;QNGNOS;Vendex;T1D81N;Fast Food;QNGNOS;50;M;28;not_married;R;50;Corporate customer employee/ payroll scheme
35101754;2019-11-05 00:00:00;30.0;5814;SANKT-PETERBU;T1D81N;E44SPB;Vendex;T1D81N;Fast Food;E44SPB;50;M;40;married;R;50;Corporate customer employee/ payroll scheme
33781228;2019-10-11 00:00:00;15.0;5814;SANKT-PETERBU;T1D81N;EYNHDY;Vendex;T1D81N;Fast Food;EYNHDY;50;M;39;married;R;50;Corporate customer employee/ payroll scheme
24693215;2019-12-04 00:00:00;445.0;5814;MOSKVA;3AH10 D7KLKIADO4O;JNPRJT;Хлеб Насущный;3AH10 D7KLKIADO4O;Fast Food;JNPRJT;85;F;52;married;R;85;Premium Direct Payroll Customer
34229913;2019-11-13 00:00:00;16.0;5814;SANKT-PETERBU;T1D81N;5HCYFN;Vendex;T1D81N;Fast Food;5HCYFN;50;M;40;married;R;50;Corporate customer employee/ payroll scheme
34452085;2019-11-15 00:00:00;50.0;5814;SANKT-PETERBU;T1D81N;KDFYCN;Vendex;T1D81N;Fast Food;KDFYCN;81;M;38;married;R;81;Affluent Banking payroll customer
41132162;2019-12-11 00:00:00;50.0;5814;SANKT-PETERBU;T1D81N;ELUSLH;Vendex;T1D81N;Fast Food;ELUSLH;70;M;55;married;R;70;Regular retail banking customer
10054431;2019-09-18 00:00:00;40.0;5814;SANKT-PETERBU;T1D81N;ASCDFX;Vendex;T1D81N;Fast Food;ASCDFX;50;M;34;not_married;R;50;Corporate customer employee/ payroll scheme
10237565;2019-10-29 00:00:00;50.0;5814;SANKT-PETERBU;T1D81N;KJNRJJ;Vendex;T1D81N;Fast Food;KJNRJJ;50;F;41;married;R;50;Corporate customer employee/ payroll scheme
44028065;2019-12-15 00:00:00;53.0;5814;SANKT-PETERBU;T1D81N;ELQMS4;Vendex;T1D81N;Fast Food;ELQMS4;50;M;28;not_married;R;50;Corporate customer employee/ payroll scheme
41759460;2019-10-28 00:00:00;84.0;5814;MOSKVA;IX9911 WX4DE;RLKMRJ;Кофе Поинт;IX9911 WX4DE;Fast Food;RLKMRJ;85;M;39;married;R;85;Premium Direct Payroll Customer
18046151;2019-10-29 00:00:00;45.0;5814;SANKT-PETERBU;T1D81N;ELLL8D;Vendex;T1D81N;Fast Food;ELLL8D;50;M;27;not_married;R;50;Corporate customer employee/ payroll scheme
16618477;2019-10-31 00:00:00;40.0;5814;SANKT-PETERBU;T1D81N;ELH71F;Vendex;T1D81N;Fast Food;ELH71F;70;M;35;not_married;R;70;Regular retail banking customer
52119978;2019-12-13 00:00:00;58.0;5814;SANKT-PETERBU;T1D81N;8ELMY5;Vendex;T1D81N;Fast Food;8ELMY5;70;M;38;not_married;N;70;Regular retail banking customer
55169717;2019-09-26 00:00:00;16.0;5814;GATCHINA;T1D81N;6DSYGC;Vendex;T1D81N;Fast Food;6DSYGC;50;M;35;married;R;50;Corporate customer employee/ payroll scheme
14828874;2019-09-24 00:00:00;275.0;5814;MOSKVA;IX9911 WX4DE;4YCYCF;Кофе Поинт;IX9911 WX4DE;Fast Food;4YCYCF;50;F;35;not_married;R;50;Corporate customer employee/ payroll scheme
19402454;2019-11-01 00:00:00;38.0;5814;SANKT-PETERBU;T1D81N;EE9JZE;Vendex;T1D81N;Fast Food;EE9JZE;50;M;32;married;R;50;Corporate customer employee/ payroll scheme
38105603;2019-10-03 00:00:00;55.0;5814;SANKT-PETERBU;T1D81N;ELQMAT;Vendex;T1D81N;Fast Food;ELQMAT;50;M;35;not_married;R;50;Corporate customer employee/ payroll scheme
20513059;2019-10-25 00:00:00;145.0;5814;MOSKVA;IX9911 WX4DE;EL7ASP;Кофе Поинт;IX9911 WX4DE;Fast Food;EL7ASP;50;M;29;married;R;50;Corporate customer employee/ payroll scheme
39502087;2019-12-17 00:00:00;30.0;5814;GATCHINA;T1D81N;E4NRNC;Vendex;T1D81N;Fast Food;E4NRNC;50;M;33;not_married;R;50;Corporate customer employee/ payroll scheme
50489824;2019-12-04 00:00:00;40.0;5814;SANKT-PETERBU;T1D81N;ELGM6L;Vendex;T1D81N;Fast Food;ELGM6L;50;M;37;married;R;50;Corporate customer employee/ payroll scheme
42462699;2019-10-22 00:00:00;1500.0;5812;MOSCOW;J1KEXJ7D KOJXT7JDO7;0XDCHD;Сыроварня;J1KEXJ7D KOJXT7JDO7;Restaurants;0XDCHD;50;M;30;not_married;R;50;Corporate customer employee/ payroll scheme
54836603;2019-11-22 00:00:00;3.9900000000000007;5411;SANKT-PETERBU;6 KA7ZXT;EL29HO;7 шагов;6 KA7ZXT;Supermarkets;EL29HO;50;M;43;not_married;R;50;Corporate customer employee/ payroll scheme
54343581;2019-10-04 00:00:00;25.0;5814;SANKT-PETERBU;T1D81N;ELU4R0;Vendex;T1D81N;Fast Food;ELU4R0;50;M;38;not_married;R;50;Corporate customer employee/ payroll scheme
33160819;2019-10-28 00:00:00;45.0;5814;SANKT-PETERBU;T1D81N;AGDFSF;Vendex;T1D81N;Fast Food;AGDFSF;50;M;40;married;R;50;Corporate customer employee/ payroll scheme
47476901;2019-09-27 00:00:00;721.0;5814;MOSKVA;AH10 D7KLKIADO4O;ICSFYC;Хлеб Насущный;AH10 D7KLKIADO4O;Fast Food;ICSFYC;85;M;33;married;R;85;Premium Direct Payroll Customer
32175289;2019-11-22 00:00:00;23.0;5814;SANKT-PETERBU;T1D81N;JKIJRP;Vendex;T1D81N;Fast Food;JKIJRP;50;M;46;married;R;50;Corporate customer employee/ payroll scheme
27483619;2019-11-23 00:00:00;418.23;5411;SANKT-PETERBU;6 KA7ZXT;1SDCYY;7 шагов;6 KA7ZXT;Supermarkets;1SDCYY;50;M;44;married;R;50;Corporate customer employee/ payroll scheme
14088544;2019-12-17 00:00:00;410.0;5812;MOSCOW;"3791-W4221J47 ""73781C47""";KMJLNI;Академия;"3791-W4221J47 ""73781C47""";Restaurants;KMJLNI;85;F;46;married;R;85;Premium Direct Payroll Customer
38199211;2019-11-26 00:00:00;20.0;5814;SANKT-PETERBU;T1D81N;ELSOD8;Vendex;T1D81N;Fast Food;ELSOD8;50;M;35;married;R;50;Corporate customer employee/ payroll scheme
62375456;2019-12-09 00:00:00;505.0;5331;SANKT-PETERBU;0XHKAX4 ZXKE4DO 8TXJ;QNKJRM;Большой гостиный двор;0XHKAX4 ZXKE4DO 8TXJ;Supermarkets;QNKJRM;50;M;37;not_married;R;50;Corporate customer employee/ payroll scheme
61530131;2019-10-01 00:00:00;150.0;5814;MOSCOW;IX9911 WX4DE;8EE1YZ;Кофе Поинт;IX9911 WX4DE;Fast Food;8EE1YZ;50;M;30;not_married;N;50;Corporate customer employee/ payroll scheme
17189164;2019-09-28 00:00:00;686.0;5812;CHELYABINSK;KTXO7 3XCW7D4O7;E4H46X;Своя Компания;KTXO7 3XCW7D4O7;Restaurants;E4H46X;50;M;26;married;R;50;Corporate customer employee/ payroll scheme
23755904;2019-12-12 00:00:00;30.0;5814;SANKT-PETERBU;T1D81N;ELHS95;Vendex;T1D81N;Fast Food;ELHS95;50;M;37;not_married;R;50;Corporate customer employee/ payroll scheme
58910839;2019-10-05 00:00:00;75.0;5814;SANKT-PETERBU;T1D81N;ELRIBP;Vendex;T1D81N;Fast Food;ELRIBP;70;F;21;not_married;R;70;Regular retail banking customer
14337537;2019-09-28 00:00:00;5208.31;5411;MOSCOW;C1EJX KEXJ1 MQMP;ELZ5Q0;Метро Стор 1318;C1EJX KEXJ1 MQMP;Supermarkets;ELZ5Q0;50;M;38;married;R;50;Corporate customer employee/ payroll scheme
54041483;2019-12-13 00:00:00;1163.0;5812;UFA;KTXO7 3XCW7D4O7;TYHNDC;Своя Компания;KTXO7 3XCW7D4O7;Restaurants;TYHNDC;50;F;32;not_married;R;50;Corporate customer employee/ payroll scheme
38236228;2019-11-01 00:00:00;50.0;5814;SANKT-PETERBU;T1D81N;E44DH8;Vendex;T1D81N;Fast Food;E44DH8;50;M;32;not_married;R;50;Corporate customer employee/ payroll scheme
1707871;2019-12-05 00:00:00;301.5;5814;MOSKVA;3AH10 D7KLKIADO4O;IHYDFS;Хлеб Насущный;3AH10 D7KLKIADO4O;Fast Food;IHYDFS;50;F;31;not_married;R;50;Corporate customer employee/ payroll scheme
63995544;2019-09-24 00:00:00;135.0;5814;MOSKVA;IX9911 WX4DE;ITINTR;Кофе Поинт;IX9911 WX4DE;Fast Food;ITINTR;50;F;36;not_married;R;50;Corporate customer employee/ payroll scheme
33432210;2019-09-19 00:00:00;210.0;5814;MOSKVA;IX991 WX4DE;E4OSAU;Кофе Поинт;IX991 WX4DE;Fast Food;E4OSAU;81;M;53;married;R;81;Affluent Banking payroll customer
11898753;2019-10-01 00:00:00;43.0;5814;SANKT-PETERBU;T1D81N;2FFFOY;Vendex;T1D81N;Fast Food;2FFFOY;50;M;31;married;R;50;Corporate customer employee/ payroll scheme
14777079;2019-10-26 00:00:00;3920.0;5812;MOSCOW;J-D KOJXT7JDO7;EL7UQE;Сыроварня;J-D KOJXT7JDO7;Restaurants;EL7UQE;50;F;31;not_married;R;50;Corporate customer employee/ payroll scheme
59185982;2019-10-04 00:00:00;70.0;5814;SANKT-PETERBU;T1D81N;E46PMP;Vendex;T1D81N;Fast Food;E46PMP;50;F;22;not_married;R;50;Corporate customer employee/ payroll scheme
744744;2019-12-03 00:00:00;945.0;5814;MOSKVA;3AH10 D7KLKIADO4O;0SDFYH;Хлеб Насущный;3AH10 D7KLKIADO4O;Fast Food;0SDFYH;50;F;31;not_married;R;50;Corporate customer employee/ payroll scheme
55809859;2019-12-13 00:00:00;50.0;5814;SANKT-PETERBU;T1D81N;QTQTJM;Vendex;T1D81N;Fast Food;QTQTJM;50;M;50;not_married;R;50;Corporate customer employee/ payroll scheme
54560565;2019-10-10 00:00:00;742.0;5411;SANKT-PETERBU;KLW1JC7J31E H1D8;QQNJKM;Супермаркет Ленд;KLW1JC7J31E H1D8;Supermarkets;QQNJKM;70;M;46;not_married;R;70;Regular retail banking customer
4116116;2019-12-17 00:00:00;17.0;5814;SANKT-PETERBU;T1D81N;ELHDMZ;Vendex;T1D81N;Fast Food;ELHDMZ;50;M;33;married;R;50;Corporate customer employee/ payroll scheme
13926695;2019-11-20 00:00:00;310.99;5814;MOSKVA;3AH10 D7KLKIADO4O;IONDCH;Хлеб Насущный;3AH10 D7KLKIADO4O;Fast Food;IONDCH;50;M;53;married;R;50;Corporate customer employee/ payroll scheme
7584559;2019-10-10 00:00:00;65.0;5814;MOSKVA;IX9911 WX4DE;ELHRQ5;Кофе Поинт;IX9911 WX4DE;Fast Food;ELHRQ5;50;F;31;married;R;50;Corporate customer employee/ payroll scheme
55757412;2019-09-21 00:00:00;20.0;5814;SANKT-PETERBU;T1D81N;ELSH0X;Vendex;T1D81N;Fast Food;ELSH0X;50;M;31;married;R;50;Corporate customer employee/ payroll scheme
36813926;2019-10-25 00:00:00;49.0;5814;SANKT-PETERBU;T1D81N;ASOGYH;Vendex;T1D81N;Fast Food;ASOGYH;50;M;32;married;R;50;Corporate customer employee/ payroll scheme
8522781;2019-10-07 00:00:00;64.0;5411;SANKT-PETERBU;KLW1JC7J31E H1D8;PODXYO;Супермаркет Ленд;KLW1JC7J31E H1D8;Supermarkets;PODXYO;50;M;43;not_married;R;50;Corporate customer employee/ payroll scheme
16954712;2019-10-18 00:00:00;24.0;5814;SANKT-PETERBU;T1D81N;8FSSGX;Vendex;T1D81N;Fast Food;8FSSGX;81;M;40;married;N;81;Affluent Banking payroll customer
13573938;2019-11-19 00:00:00;330.0;5814;MOSKVA;IX9911 WX4DE;JTQTQL;Кофе Поинт;IX9911 WX4DE;Fast Food;JTQTQL;81;F;41;not_married;R;81;Affluent Banking payroll customer
50607737;2019-12-10 00:00:00;72.0;5814;MOSKVA;IX9911 WX4DE;RFHYNY;Кофе Поинт;IX9911 WX4DE;Fast Food;RFHYNY;50;M;31;not_married;R;50;Corporate customer employee/ payroll scheme
37588286;2019-12-14 00:00:00;298.0;5812;EKATERINBURG;KTXO7 3XCW7D4O7;EET44Q;Своя Компания;KTXO7 3XCW7D4O7;Restaurants;EET44Q;50;F;29;not_married;R;50;Corporate customer employee/ payroll scheme
35872091;2019-10-21 00:00:00;25.0;5814;SANKT-PETERBU;T1D81N;EEKXON;Vendex;T1D81N;Fast Food;EEKXON;50;M;32;not_married;R;50;Corporate customer employee/ payroll scheme
35343593;2019-10-04 00:00:00;20.0;5814;SANKT-PETERBU;T1D81N;INRMRQ;Vendex;T1D81N;Fast Food;INRMRQ;50;M;56;married;R;50;Corporate customer employee/ payroll scheme
13900961;2019-09-20 00:00:00;3150.0;5812;MOSCOW;3791 73781C4O7;ELAJB2;Академия;3791 73781C4O7;Restaurants;ELAJB2;50;M;33;not_married;R;50;Corporate customer employee/ payroll scheme
20601172;2019-11-22 00:00:00;50.0;5814;SANKT-PETERBU;T1D81N;0GYCNN;Vendex;T1D81N;Fast Food;0GYCNN;50;M;32;not_married;R;50;Corporate customer employee/ payroll scheme
53523341;2019-10-21 00:00:00;40.0;5814;SANKT-PETERBU;T1D81N;E45Z6S;Vendex;T1D81N;Fast Food;E45Z6S;70;M;18;not_married;R;70;Regular retail banking customer
28570836;2019-12-10 00:00:00;19.0;5814;GATCHINA;T1D81N;RQTPQQ;Vendex;T1D81N;Fast Food;RQTPQQ;50;M;38;married;R;50;Corporate customer employee/ payroll scheme
1017634;2019-10-29 00:00:00;40.0;5814;SANKT-PETERBU;T1D81N;ELSHZL;Vendex;T1D81N;Fast Food;ELSHZL;50;F;40;married;R;50;Corporate customer employee/ payroll scheme
10464081;2019-10-01 00:00:00;35.0;5814;SANKT-PETERBU;T1D81N;EEKSGM;Vendex;T1D81N;Fast Food;EEKSGM;50;M;29;not_married;R;50;Corporate customer employee/ payroll scheme
32437438;2019-10-08 00:00:00;53.0;5814;SANKT-PETERBU;T1D81N;EL6DZZ;Vendex;T1D81N;Fast Food;EL6DZZ;70;M;29;not_married;R;70;Regular retail banking customer
24960652;2019-11-28 00:00:00;50.0;5814;SANKT-PETERBU;T1D81N;KDGSOX;Vendex;T1D81N;Fast Food;KDGSOX;50;M;31;not_married;R;50;Corporate customer employee/ payroll scheme
6315343;2019-11-05 00:00:00;138.0;5814;MOSKVA;IX9911 WX4DE;LNGYND;Кофе Поинт;IX9911 WX4DE;Fast Food;LNGYND;81;M;51;married;R;81;Affluent Banking payroll customer
39154675;2019-11-14 00:00:00;65.0;5814;SANKT-PETERBU;T1D81N;ELHNS4;Vendex;T1D81N;Fast Food;ELHNS4;50;M;30;married;R;50;Corporate customer employee/ payroll scheme
17021928;2019-10-10 00:00:00;68.0;5814;SANKT-PETERBU;T1D81N;ISXOHG;Vendex;T1D81N;Fast Food;ISXOHG;50;F;31;married;R;50;Corporate customer employee/ payroll scheme
17154739;2019-09-25 00:00:00;100.0;5814;SANKT-PETERBU;T1D81N;EL9GJC;Vendex;T1D81N;Fast Food;EL9GJC;50;F;40;not_married;R;50;Corporate customer employee/ payroll scheme
